City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Priargunsk,RU,2022-02-11 17:37:03,50.3691,119.1012,243.94,100,75,1.45
130,Mar Del Plata,AR,2022-02-11 17:34:34,-38.0023,-57.5575,291.16,71,100,9.83
131,Terney,RU,2022-02-11 17:37:03,45.0503,136.6092,268.91,95,100,2.22
132,Nanortalik,GL,2022-02-11 17:37:04,60.1432,-45.2371,271.98,77,100,2.34
133,Severo-Kurilsk,RU,2022-02-11 17:37:04,50.6789,156.125,268.08,89,96,1.84
134,Manicore,BR,2022-02-11 17:37:04,-5.8092,-61.3003,300.55,87,100,1.19
135,Knysna,ZA,2022-02-11 17:37:05,-34.0363,23.0471,294.36,77,0,1.1
136,Bathsheba,BB,2022-02-11 17:37:05,13.2167,-59.5167,301.49,54,20,11.83
137,Aransas Pass,US,2022-02-11 17:34:00,27.9095,-97.15,296.28,66,0,2.24
138,Otanche,CO,2022-02-11 17:38:06,5.6567,-74.1825,299.71,63,48,2.03
139,Ossora,RU,2022-02-11 17:37:14,59.2353,163.0719,250.57,97,49,1.97
140,Bethel,US,2022-02-11 17:33:41,41.3712,-73.414,285.39,39,0,6.17
141,Houma,US,2022-02-11 17:38:06,29.5958,-90.7195,293.15,42,0,2.06
142,Clyde River,CA,2022-02-11 17:38:07,70.4692,-68.5914,246.28,76,100,13.38
143,Port Elizabeth,ZA,2022-02-11 17:38:07,-33.918,25.5701,294.31,73,0,2.57
144,Sao Filipe,CV,2022-02-11 17:38:08,14.8961,-24.4956,300.27,49,73,7.5
145,Alice Town,BS,2022-02-11 17:38:08,25.7167,-79.3,296.59,75,68,4.99
146,Punta De Bombon,PE,2022-02-11 17:38:08,-17.1717,-71.7931,296.18,71,37,4.76
147,Labuan,MY,2022-02-11 17:38:09,5.2767,115.2417,299.35,94,20,0.51
148,Shimoda,JP,2022-02-11 17:38:09,34.6667,138.95,276.54,79,97,3.89
149,Victoria,HK,2022-02-11 17:33:41,22.2855,114.1577,293.68,89,58,2.24
150,Georgetown,MY,2022-02-11 17:36:38,5.4112,100.3354,299.76,87,20,0.0
151,Sola,VU,2022-02-11 17:38:10,-13.8833,167.55,299.56,81,99,5.41
152,Abu Dhabi,AE,2022-02-11 17:37:19,24.4667,54.3667,295.21,76,0,2.57
153,Riorges,FR,2022-02-11 17:38:10,46.0418,4.0497,278.0,81,27,2.06
154,Muheza,TZ,2022-02-11 17:38:11,-5.1667,38.7833,296.45,89,87,2.85
155,Santa Barbara,US,2022-02-11 17:34:38,34.7333,-120.0343,297.78,15,0,1.13
156,Hamilton,US,2022-02-11 17:35:30,39.1834,-84.5333,285.94,49,100,0.89
157,Codrington,AU,2022-02-11 17:38:11,-38.2667,141.9667,286.02,82,9,3.96
158,Padang,ID,2022-02-11 17:38:12,-0.9492,100.3543,298.17,79,100,1.82
159,Bengkulu,ID,2022-02-11 17:38:12,-3.8004,102.2655,296.8,88,89,1.95
160,Antalya,TR,2022-02-11 17:38:13,36.7741,30.7178,284.87,78,0,1.03
161,Aleksandrov Gay,RU,2022-02-11 17:38:13,50.147,48.5704,270.33,94,86,4.83
162,Huangmei,CN,2022-02-11 17:38:13,30.1924,116.025,278.59,96,100,1.69
163,Gao,ML,2022-02-11 17:38:14,16.6362,1.637,298.83,8,1,3.4
164,Sur,OM,2022-02-11 17:38:14,22.5667,59.5289,293.74,54,0,3.15
165,Haines City,US,2022-02-11 17:35:44,28.1142,-81.6179,297.61,54,20,4.63
166,Songjianghe,CN,2022-02-11 17:38:15,42.1859,127.479,258.14,99,99,1.19
167,Trat,TH,2022-02-11 17:38:15,12.5,102.5,300.92,93,79,0.51
168,Erbaa,TR,2022-02-11 17:38:16,40.6689,36.5675,277.59,81,5,1.75
169,Richards Bay,ZA,2022-02-11 17:38:16,-28.783,32.0377,297.43,82,2,2.96
170,Orlik,RU,2022-02-11 17:38:16,52.5178,99.825,238.76,97,25,0.99
171,Mutsu,JP,2022-02-11 17:38:17,41.2894,141.2169,267.57,89,61,1.2
172,Gondanglegi,ID,2022-02-11 17:38:17,-7.7479,112.0132,296.19,97,100,1.96
173,Yulara,AU,2022-02-11 17:38:17,-25.2406,130.9889,294.06,37,0,2.57
174,Kahului,US,2022-02-11 17:33:02,20.8947,-156.47,294.17,82,0,2.68
175,Hutchinson,US,2022-02-11 17:34:19,38.0608,-97.9298,284.11,48,40,1.34
176,Port-Cartier,CA,2022-02-11 17:38:18,50.0334,-66.8654,265.23,65,15,2.38
177,Malatya,TR,2022-02-11 17:38:18,38.5,38.0,271.18,69,0,2.06
178,Lewistown,US,2022-02-11 17:35:32,40.5992,-77.5714,286.59,100,82,5.29
