City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
76,Nalut,LY,30.33,10.85,290.47,22,15,1.9,few clouds
77,Oga,IT,46.46,10.35,273.53,65,0,1.71,clear sky
78,Avarua,CK,-21.21,-159.78,295.18,100,92,1.03,overcast clouds
79,Margate,GB,51.38,1.39,280.99,65,99,3.58,overcast clouds
80,Hilo,US,19.73,-155.09,294.0,84,100,4.63,overcast clouds
81,Caravelas,BR,-17.71,-39.25,302.44,61,96,4.39,overcast clouds
82,Yakeshi,CN,49.28,120.73,239.79,100,94,0.89,overcast clouds
83,Mapiripan,CO,2.89,-72.13,306.24,37,93,5.31,overcast clouds
84,Ambovombe,MG,-25.17,46.08,297.74,81,0,8.79,clear sky
85,Vila Velha,BR,-20.33,-40.29,300.12,84,40,5.14,moderate rain
86,Luderitz,NA,-26.65,15.16,296.75,66,40,0.29,scattered clouds
87,Alofi,NU,-19.06,-169.92,297.09,94,14,2.57,few clouds
88,Ust-Tsilma,RU,65.44,52.15,263.67,95,100,3.33,light snow
89,Ulladulla,AU,-35.35,150.47,289.87,84,100,1.7,overcast clouds
90,Ushibuka,JP,32.19,130.02,283.96,85,100,4.28,overcast clouds
91,Shirokiy,RU,49.76,129.52,257.82,94,100,4.22,overcast clouds
92,Perelyub,RU,51.87,50.37,263.05,99,79,2.09,broken clouds
93,Osakarovka,KZ,50.56,72.57,262.82,93,100,8.64,overcast clouds
94,Bethel,US,41.37,-73.41,287.64,52,0,7.72,clear sky
95,Baoro,CF,5.67,15.97,307.43,11,91,3.65,overcast clouds
96,Waterloo,CA,43.47,-80.52,267.53,67,20,9.26,few clouds
97,Namatanai,PG,-3.67,152.43,298.79,82,100,2.03,moderate rain
98,Marsh Harbour,BS,26.54,-77.06,297.87,75,7,4.23,clear sky
99,Hamilton,US,39.18,-84.53,273.19,79,100,5.66,overcast clouds
100,Linxia,CN,35.6,103.21,263.98,70,3,2.47,clear sky
101,Moratuwa,LK,6.77,79.88,298.29,89,95,3.57,overcast clouds
102,Zhezkazgan,KZ,47.8,67.71,269.14,93,100,8.0,overcast clouds
103,Qaanaaq,GL,77.48,-69.36,243.71,48,0,3.95,clear sky
104,Carutapera,BR,-1.2,-46.02,300.84,79,100,2.79,overcast clouds
105,Jamestown,US,42.1,-79.24,271.65,61,100,5.66,overcast clouds
106,Mukhen,RU,48.1,136.1,260.39,97,100,1.27,overcast clouds
107,Punta Arenas,CL,-53.15,-70.92,288.21,41,20,16.46,few clouds
108,Gerash,IR,27.67,54.14,291.23,42,85,0.95,overcast clouds
109,Sabang,ID,5.89,95.32,301.27,74,60,8.52,broken clouds
110,Kholmogory,RU,64.22,41.66,266.21,93,100,3.02,overcast clouds
111,Hauterive,FR,46.09,3.45,281.57,57,100,0.72,overcast clouds
112,Saint-Philippe,RE,-21.36,55.77,298.92,78,16,2.66,few clouds
113,Port Hedland,AU,-20.32,118.57,302.18,89,53,1.03,broken clouds
114,Kruisfontein,ZA,-34.0,24.73,297.48,78,33,6.57,scattered clouds
115,Mount Isa,AU,-20.73,139.5,297.02,83,52,0.0,broken clouds
116,Marsa Matruh,EG,31.35,27.25,287.22,70,0,4.24,clear sky
117,Kalmunai,LK,7.42,81.82,298.44,89,98,3.73,overcast clouds
118,San Patricio,US,28.02,-97.52,291.99,74,0,7.13,clear sky
119,Yellowknife,CA,62.46,-114.35,240.05,88,0,2.24,clear sky
120,Peniche,PT,39.36,-9.38,290.79,74,84,4.53,broken clouds
121,Bonavista,CA,48.65,-53.11,275.99,75,94,6.91,overcast clouds
122,New Norfolk,AU,-42.78,147.06,286.87,66,92,1.18,overcast clouds
123,Vicuna,CL,-30.03,-70.71,304.13,40,0,4.01,clear sky
124,Nemuro,JP,43.32,145.57,267.53,79,52,2.16,broken clouds
125,Cedar City,US,37.68,-113.06,276.15,56,0,4.12,clear sky
126,Gornopravdinsk,RU,60.05,69.9,257.11,92,85,4.24,overcast clouds
127,Ishinomaki,JP,38.42,141.3,276.24,78,25,4.29,scattered clouds
