City_ID,Hotel Name,City,Country,Max Temp,Lat,Lng
353,Hotel Miramar,Huarmey,PE,24.04000000000002,-10.07,-78.15
366,Auki Motel,Auki,SB,23.879999999999995,-8.77,160.7
368,Pousada Porto De Canoas,Sao Joao Da Barra,BR,29.05000000000001,-21.64,-41.05
375,Bay Retreat Motel,Victoria Point,AU,21.08000000000004,-27.58,153.3
376,Dhukurrdji Lodge,Maningrida,AU,27.129999999999995,-12.07,134.27
378,La Case Bambou,Morondava,MG,27.980000000000018,-20.28,44.28
379,The Irish Village,Emerald,AU,24.08000000000004,-23.53,148.17
380,Kilakarai Home Stays,Kilakarai,IN,25.79000000000002,9.23,78.78
382,Tiger Tower Hotel,Jiblah,YE,15.620000000000005,13.92,44.15
384,LT Aparthotel,Praia,CV,28.30000000000001,14.92,-23.51
385,Undulata Country Lodge,Springbok,ZA,26.700000000000045,-29.66,17.89
387,Swetha lodge,Rayachoti,IN,21.640000000000043,14.05,78.75
392,Mystic Sands Beachfront Accommodation,Neiafu,TO,27.379999999999995,-18.65,-173.98
393,محطة ام الارانب ,Sabha,LY,17.370000000000005,27.04,14.43
394,Daru Lodge,Daru,PG,26.210000000000036,-9.08,143.21
398,Shruti nilanga rice and vada pav and tea centre,Nilanga,IN,23.180000000000007,18.1,76.77
399,Palolem Beach Resort,Kankon,IN,25.890000000000043,15.02,74.02
401,Baymont by Wyndham Lazaro Cardenas,Lazaro Cardenas,MX,26.980000000000018,17.96,-102.2
402,Casa Maquia,Lata,PT,15.600000000000023,40.16,-8.33
403,Laurel Inn & Conference Center,Salinas,US,18.360000000000014,36.68,-121.66
405,Hotel Mirage,Vilhena,BR,27.120000000000005,-12.74,-60.15
408,Apollon Motor Inn,Victor Harbor,AU,23.840000000000032,-35.57,138.62
413,Dhidhoo beach,Dhidhdhoo,MV,27.620000000000005,6.88,73.1
414,Macs,Russell,US,17.99000000000001,32.35,-85.2
418,Hotel Ultramar,Valparaiso,CL,20.80000000000001,-33.04,-71.63
419,Port Lincoln Hotel,Port Lincoln,AU,20.220000000000027,-34.73,135.87
420,Hotel Anfora,Melilla,ES,17.110000000000014,35.29,-2.94
